student_id,student_idx,name,amount_rupees,status,category
b1000000-0000-4000-8000-000000000013,13,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000013,13,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000014,14,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000014,14,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000015,15,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000015,15,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000016,16,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000016,16,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000017,17,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000017,17,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000018,18,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000018,18,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000019,19,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000019,19,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000020,20,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000020,20,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000021,21,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000021,21,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000022,22,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000022,22,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000023,23,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000023,23,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000024,24,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000024,24,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000025,25,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000025,25,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000026,26,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000026,26,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000027,27,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000027,27,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000028,28,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000028,28,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000029,29,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000029,29,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000031,31,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000031,31,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000032,32,Tuition — Term 1,18500,Overdue,Tuition
b1000000-0000-4000-8000-000000000032,32,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000033,33,Tuition — Term 1,18500,Pending,Tuition
b1000000-0000-4000-8000-000000000033,33,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000034,34,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000034,34,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000035,35,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000035,35,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000036,36,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000036,36,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000037,37,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000037,37,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000038,38,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000038,38,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000039,39,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000039,39,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000040,40,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000040,40,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000041,41,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000041,41,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000042,42,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000042,42,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000043,43,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000043,43,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000044,44,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000044,44,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000045,45,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000045,45,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000046,46,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000046,46,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000047,47,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000047,47,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000048,48,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000048,48,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000049,49,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000049,49,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000050,50,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000050,50,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000051,51,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000051,51,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000052,52,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000052,52,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000053,53,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000053,53,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000054,54,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000054,54,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000055,55,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000055,55,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000056,56,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000056,56,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000057,57,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000057,57,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000058,58,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000058,58,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000059,59,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000059,59,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000060,60,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000060,60,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000061,61,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000061,61,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000062,62,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000062,62,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000063,63,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000063,63,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000064,64,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000064,64,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000065,65,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000065,65,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000066,66,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000066,66,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000067,67,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000067,67,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000068,68,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000068,68,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000069,69,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000069,69,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000070,70,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000070,70,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000071,71,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000071,71,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000072,72,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000072,72,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000073,73,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000073,73,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000074,74,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000074,74,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000075,75,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000075,75,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000076,76,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000076,76,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000077,77,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000077,77,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000078,78,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000078,78,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000079,79,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000079,79,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000080,80,Transport — Quarterly,6000,Unpaid,Transport
b1000000-0000-4000-8000-000000000081,81,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000081,81,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000082,82,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000082,82,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000083,83,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000083,83,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000084,84,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000084,84,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000085,85,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000085,85,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000086,86,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000086,86,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000087,87,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000087,87,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000088,88,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000088,88,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000089,89,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000089,89,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000090,90,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000090,90,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000091,91,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000091,91,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000092,92,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000092,92,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000093,93,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000093,93,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000094,94,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000094,94,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000095,95,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000095,95,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000096,96,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000096,96,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000097,97,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000097,97,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000098,98,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000098,98,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000099,99,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000099,99,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000100,100,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000100,100,Lab & Activity,4500,Paid,Lab
